T0_Pa,T0_over_mu,lambda_R,lambda_Z,eps_R=lambda_R-1,eps_Z=lambda_Z-1,J1,J1_minus_1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
19021739.13043478,0.015,1.0021256255310798,0.9983620339984235,0.0021256255310797556,-0.0016379660015765074,1.002610832538982,0.0026108325389819775
47554347.82608695,0.0375,1.0053370496161431,0.9958767378370632,0.005337049616143119,-0.004123262162936792,1.0065351916110605,0.006535191611060531
90353260.86956522,0.07125000000000001,1.010207035532193,0.9920845574692281,0.010207035532193043,-0.007915442530771921,1.0124404010425447,0.012440401042544735
153759057.9710145,0.12125000000000001,1.0175422530792928,0.9863232937733247,0.017542253079292802,-0.013676706226675273,1.0212314813495666,0.02123148134956665
217164855.07246378,0.17125,1.0250273038306243,0.9803886609968683,0.025027303830624348,-0.019611339003131723,1.0300757128409028,0.030075712840902824
280570652.17391306,0.22125,1.0326693256985018,0.9742779267134014,0.03266932569850178,-0.02572207328659859,1.0389757645934052,0.03897576459340524
343976449.2753624,0.27125000000000005,1.0404758745215055,0.9679882671132236,0.04047587452150547,-0.03201173288677639,1.0479344621001017,0.04793446210010166
407382246.3768116,0.32125000000000004,1.0484549543412442,0.9615167673374155,0.04845495434124425,-0.038483232662584466,1.0569547979446097,0.05695479794460967
443840579.7101449,0.35,1.0531243263352845,0.9577121512195501,0.05312432633528452,-0.04228784878044989,1.062170626466282,0.06217062646628202
