T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,10000000.0,1.0,0.15,1400.0,215.64948908399714,1354.9657013133553,343.60306598871085,2158.921735722126,460.53000475043615,2893.5953593632853,495.00556095572443,3110.211667569197
150000.0,0.015,1.0020893497426229,0.9983260305943352,1.0025020931393176,0.002502093139317596,10058197.707773423,1.0058197707773422,0.15,1400.0,216.27609402965717,1358.9027763013326,344.60146102969617,2165.1948367744058,461.86815018183603,2902.0031750767266,496.4438807678491,3119.248897479764
375000.0,0.0375,1.0052461899686804,0.9957875867367673,1.006263175006722,0.0062631750067219105,10144983.696311254,1.0144983696311254,0.15,1400.0,217.20714652937144,1364.75275168775,346.0849446904141,2174.5158395148696,463.8564582178885,2914.4960829149986,498.58103475257656,3132.6770319957836
712500.0,0.07125,1.0100338930135784,0.9919176168741592,1.0119230726488415,0.011923072648841515,10274005.281310348,1.0274005281310348,0.15,1400.0,218.5839782359664,1373.4036404370866,348.27870641804907,2188.2996509693985,466.7967494982993,2932.970477886904,501.7414380262389,3152.534431409621
1212500.0,0.12125,1.0172462294609368,0.9860453821199308,1.0203497938325106,0.020349793832510565,10462566.222771294,1.0462566222771295,0.15,1400.0,220.5807167077182,1385.9495182650778,351.46019070435915,2208.289506292165,471.06088191886386,2959.7628120596632,506.32478599283843,3181.332456011051
1712500.0,0.17125,1.024607097794051,0.9800048995138848,1.0288284543591693,0.028828454359169253,10647998.332313176,1.0647998332313175,0.15,1400.0,222.52685025739012,1398.1774359901856,354.56104411853204,2227.7727429038137,475.2169450594831,2985.876126920513,510.7919745474789,3209.4006295019685
2212500.0,0.22125,1.032123480562786,0.9737934627041545,1.0373616084526678,0.03736160845266778,10830247.962141838,1.0830247962141837,0.15,1400.0,224.42313953900907,1410.092172942616,357.5824786414398,2246.756975904753,479.2665633339416,3011.3206289622763,515.1447497085483,3236.749922439456
2712500.0,0.27125,1.039802767581032,0.9674082785830175,1.045951958856358,0.045951958856357944,11009258.709480647,1.1009258709480647,0.15,1400.0,226.27025811862623,1421.6979612626849,360.5255674931549,2265.248948535573,483.2111751754024,3036.1053561270696,519.3846575911911,3263.390049351472
3212500.0,0.32125,1.0476527851786204,0.9608464677645324,1.054602366967227,0.05460236696722709,11184971.291628703,1.1184971291628703,0.15,1400.0,228.06879628439478,1432.9985098402435,363.39125120370187,2283.2545703207056,487.0520411730149,3060.238228930114,523.5130531530269,3289.3295236878243
3500000.0,0.35,1.0522470576569873,0.9569922990134331,1.0596047172066803,0.05960471720668026,11284488.493219625,1.1284488493219624,0.15,1400.0,229.08115946191162,1439.359375282747,365.0042904609076,2293.3895948814848,489.2139921283885,3073.8221674077604,525.8368490716086,3303.930364060341
