tau_N_per_m,sigma_Pa,radius_m,rho_s_kg_per_m2,f_01_Hz,f_11_Hz,f_21_Hz,f_02_Hz
2754.522613065327,14497487.43718593,0.15,0.266,259.6538725065464,413.7170325237364,554.5035123748067,596.0139825064259
2829.949748743719,14894472.361809045,0.15,0.266,263.1849161238151,419.3431873464858,562.044228287198,604.1192009975507
2905.376884422111,15291457.28643216,0.15,0.266,266.66920827600876,424.8948511662309,569.4851041650752,612.1171053684645
2980.804020100503,15688442.211055277,0.15,0.266,270.10855819467673,430.3749067048835,576.8300037106783,620.0118485605068
3056.2311557788944,16085427.135678392,0.15,0.266,273.5046613450323,435.7860554158436,584.082547672686,627.8073223738041
3131.6582914572864,16482412.060301507,0.15,0.266,276.85910919620204,441.1308330513344,591.2461347110609,635.5071798940704
3207.0854271356784,16879396.984924622,0.15,0.266,280.1733979384343,446.41162355188277,598.3239600130723,643.1148555022371
3282.5125628140704,17276381.90954774,0.15,0.266,283.4489362827492,451.63067147381776,605.3190319498299,650.6335827779044
3357.9396984924624,17673366.834170856,0.15,0.266,286.6870524583831,456.7900931385827,612.2341870196678,658.0664105613969
3433.3668341708544,18070351.75879397,0.15,0.266,289.88900050662403,461.8918866609573,619.0721032889369,665.4162174007407
3508.7939698492464,18467336.683417086,0.15,0.266,293.05596595562287,466.93794099096533,625.8353125108415,672.6857245777248
3584.2211055276384,18864321.608040202,0.15,0.266,296.18907094900874,471.9300440855041,632.5262110778472,679.877507880212
3659.6482412060304,19261306.532663316,0.15,0.266,299.2893788912174,476.869890309935,639.1470699420062,686.9940082651059
3735.0753768844224,19658291.457286432,0.15,0.266,302.35789866405736,481.75908715650917,645.700043619641,694.0375415371312
3810.5025125628144,20055276.38190955,0.15,0.266,305.39558846191306,486.59916135515135,652.187178381606,701.0103071522232
3885.929648241206,20452261.306532662,0.15,0.266,308.40335928691155,491.39156444245174,658.6104197173889,707.9143962403949
3961.356783919598,20849246.23115578,0.15,0.266,311.3820781401935,496.1376778464459,664.9716191502234,714.7517989310358
4036.78391959799,21246231.155778892,0.15,0.266,314.33257094096905,500.8388175376659,671.2725404708764,721.5244110533619
4112.2110552763825,21643216.08040201,0.15,0.266,317.2556252012139,505.49623829084135,677.5148654495922,728.2340402759608
4187.6381909547745,22040201.005025126,0.15,0.266,320.15199248055103,510.111137596362,683.7001990786118,734.8824117417687
4263.0653266331665,22437185.92964824,0.15,0.266,323.0223906430026,514.6846592560519,689.8300743915765,741.4711732482574
4338.492462311558,22834170.854271356,0.15,0.266,325.8675059348113,519.2178966938463,695.9059569008174,748.0019000169024
4413.91959798995,23231155.778894473,0.15,0.266,328.68799490037355,523.7118960085262,701.9292486889237,754.476099091048
4489.346733668342,23628140.703517586,0.15,0.266,331.4844861514363,528.1676587926498,707.9012921869486,760.8952133969525
4564.773869346734,24025125.628140703,0.15,0.266,334.2575820030646,532.586144739208,713.8233736680986,767.2606254990169
4640.201005025126,24422110.55276382,0.15,0.266,337.0078599884418,536.9682740552146,719.6967264826625,773.5736610768824
4715.628140703518,24819095.477386933,0.15,0.266,339.7358742632914,541.3149296994309,725.5225340572235,779.835592149166
4791.05527638191,25216080.40201005,0.15,0.266,342.44215690959646,545.6269594596324,731.3019326788148,786.0476400660391
4866.482412060302,25613065.326633167,0.15,0.266,345.1272191473028,549.9051778832663,737.0360140825711,792.2109782905927
4941.909547738694,26010050.25125628,0.15,0.266,347.7915524618218,554.1503680739467,742.7258278595667,798.3267349869269
5017.336683417086,26407035.175879396,0.15,0.266,350.43562965437445,558.3632833650097,748.3723836998752,804.3959954311283
5092.763819095478,26804020.100502513,0.15,0.266,353.05990582153566,562.5446488802623,753.976653484435,810.4198042597335
5168.19095477387,27201005.025125626,0.15,0.266,355.6648192697239,566.6951629910752,759.5395732379862,816.3991675688637
5243.618090452262,27597989.949748743,0.15,0.266,358.2507923698412,570.8154986781147,765.0620449541963,822.3350548759807
5319.045226130654,27994974.87437186,0.15,0.266,360.8182323567821,574.9063048052338,770.54493830305,828.2284009550934
5394.472361809046,28391959.798994973,0.15,0.266,363.36753207809664,578.9682073123464,775.9890922296562,834.0801075552516
5469.899497487438,28788944.72361809,0.15,0.266,365.89907069570467,583.0018103334977,781.3953164527928,839.8910450112734
