T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.15,1400.0,0.06819435617570489,0.42847777675576043,0.10865682995414618,0.682710997492602,0.14563237458595418,0.9150351962481411,0.15653450270694041,0.9835352874749113
0.03,0.03,1.002582894833777,0.9950536204217969,1.000200496479548,0.00020049647954789585,1.0148277143988838,1.0148277143988838,0.15,1400.0,0.06869807900062311,0.4316427606081776,0.10945943193472857,0.6877538944645105,0.14670809925350548,0.9217941736738701,0.157690756777256,0.9908002460608847
0.075,0.075,1.0065191393030222,0.9875847562594438,1.0005031329982448,0.0005031329982447819,1.036921834246099,1.036921834246099,0.15,1400.0,0.06944187572808434,0.4363161732776903,0.11064455338859162,0.6952002321706462,0.14829651345233374,0.9317744744296633,0.159398080628928,1.0015276782003073
0.14250000000000002,0.14250000000000002,1.0125674012594612,0.9762689578477889,1.0009614768123656,0.0009614768123655804,1.0697252147831569,1.0697252147831569,0.15,1400.0,0.07053173221145206,0.44316394352092076,0.11238106586892938,0.7061110618728383,0.15062395514298915,0.9463982218637065,0.16189975601987006,1.0172461682600074
0.24250000000000002,0.24250000000000002,1.0218611961116917,0.9592514411895938,1.0016506466165875,0.0016506466165875366,1.117557117493481,1.117557117493481,0.15,1400.0,0.07209137318425668,0.45296345676572203,0.11486610500523146,0.7217250232618179,0.15395464453003851,0.9673255604831941,0.16547978283983608,1.0397401401745268
0.3425,0.3425,1.0315788599314129,0.9419236139209194,1.0023526708667385,0.0023526708667385154,1.1644422885042875,1.1644422885042875,0.15,1400.0,0.07358807090056159,0.4623674858660982,0.11725085410139258,0.7367088437441272,0.15715091552204344,0.9874083234179237,0.16891532862196446,1.0613263109549385
0.4425,0.4425,1.0417517308266877,0.9242769306102433,1.0030684598829114,0.0030684598829113785,1.210342233148252,1.210342233148252,0.15,1400.0,0.07502439939291171,0.47139220394551595,0.11953941446772952,0.751088292612489,0.16021826509108203,1.0066810491620906,0.1722123018450057,1.0820418046681157
0.5425,0.5425,1.052414033884491,0.9063031792628977,1.0037990145002946,0.0037990145002946285,1.2552160814658655,1.2552160814658655,0.15,1400.0,0.07640251958715479,0.48005118850151146,0.12173522919492524,0.7648850034436937,0.1631613079997264,1.0251727331240839,0.17537566273546432,1.101917787336352
0.6425,0.6425,1.0636031470580392,0.8879946671301551,1.004545436317572,0.0045454363175720935,1.2990204882615384,1.2990204882615384,0.15,1400.0,0.0777242310243104,0.4883557463837789,0.12384116556457797,0.7781169918993508,0.16598388725561736,1.042907521633048,0.17840954199087022,1.1209802128976751
0.7424999999999999,0.7424999999999999,1.075359877577662,0.8693444522223608,1.0053089389774745,0.005308938977474531,1.341709555579862,1.341709555579862,0.15,1400.0,0.07899101420007863,0.49631517982114814,0.12585958251045506,0.7907990795974481,0.16868916452955088,1.059905280052474,0.1813173379666176,1.139250433848767
0.8424999999999999,0.8424999999999999,1.0877287424972173,0.8503466293285745,1.0060908604796663,0.006090860479666338,1.3832347889499008,1.3832347889499008,0.15,1400.0,0.08020406588997143,0.5039370083759319,0.12779238690345596,0.8029432477612035,0.1712796955940194,1.0761820667745348,0.18410179776188185,1.1567457107228036
0.9424999999999999,0.9424999999999999,1.1007582436987398,0.8309966802562182,1.0068926764701107,0.006892676470110715,1.4235451021474712,1.4235451021474712,0.15,1400.0,0.08136432938415958,0.5112271589150718,0.12964108172601846,0.814558939907787,0.17375749489120254,1.0917505389127358,0.1867650866212093,1.173479648152505
1.0425,1.0425,1.1145011233376778,0.8112918985714439,1.0077160143683288,0.007716014368328805,1.4625868893084695,1.4625868893084695,0.15,1400.0,0.08247252126882088,0.5181901338823113,0.13140680874392532,0.8256533299631896,0.17612409272584278,1.1066203116553504,0.1893088494088859,1.1894625811249848
1.1425,1.1425,1.129014580134048,0.7912318990342874,1.0085626680763906,0.008562668076390612,1.5003041879596752,1.5003041879596752,0.15,1400.0,0.08352915621730139,0.5248291670656565,0.13309038800706616,0.8362315704528283,0.17838058820797986,1.1207982909144312,0.1917342675149974,1.204701932533072
1.2425000000000002,1.2425000000000002,1.144360419973608,0.7708192207330282,1.0094346128522742,0.009434612852274205,1.5366389617545688,1.5366389617545688,0.15,1400.0,0.0845345711626189,0.5311463754776942,0.13469235636446578,0.8462970344986082,0.18052770087451103,1.134288997673639,0.1940421143414107,1.219202561804013
1.3425000000000002,1.3425000000000002,1.1606051059894988,0.7500600300128658,1.0103340197168516,0.01033401971685155,1.571531537031888,1.571531537031888,0.15,1400.0,0.08548895018464339,0.537142915726359,0.13621300711803747,0.8558515649708014,0.1825658238369794,1.1470949019256456,0.19623281242823812,1.2329671238356334
1.4425000000000003,1.4425000000000003,1.1778196639245868,0.7289649238737547,1.0112632684928373,0.01126326849283732,1.604921232053693,1.604921232053693,0.15,1400.0,0.08639235143132287,0.5428191531659832,0.137652432917262,0.8648957440032642,0.18449508127316464,1.1592167839024516,0.19830649524928337,1.2459964572685758
1.5,1.5,1.1881863072844705,0.7166890718198466,1.0118121002170755,0.01181210021707546,1.62341611723875,1.62341611723875,0.15,1400.0,0.08688871214664023,0.5459378795195263,0.13844330455040996,0.8698649370285246,0.18555508379649074,1.1658769761825876,0.19944585020609637,1.2531552355928854
