T0_Pa,T0_over_mu,lambda_R,lambda_Z,eps_R=lambda_R-1,eps_Z=lambda_Z-1,J1,J1_minus_1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.015,0.015,1.0012873766013384,0.9975300767204632,0.0012873766013383747,-0.0024699232795367676,1.0001001237252805,0.00010012372528045432
0.0375,0.0375,1.003233733097819,0.9938129331076585,0.003233733097818936,-0.006187066892341497,1.0002507769887254,0.00025077698872544296
0.07125000000000001,0.07125000000000001,1.0061882354665408,0.9882094371315737,0.006188235466540792,-0.01179056286842628,1.0004778252533602,0.00047782525336015347
0.12125000000000001,0.12125000000000001,1.0106443026328114,0.9798460309723163,0.010644302632811353,-0.020153969027683738,1.0008166040568687,0.000816604056868675
0.17125,0.17125,1.0151976790763158,0.9714076961302803,0.015197679076315751,-0.02859230386971967,1.0011583464670104,0.0011583464670104071
0.22125,0.22125,1.019851807644605,0.9628933344265692,0.019851807644605035,-0.037106665573430786,1.0015031516837838,0.0015031516837837877
0.27125,0.27125,1.024610285206235,0.9543018537001657,0.024610285206235094,-0.045698146299834264,1.0018511236031178,0.001851123603117788
0.32125,0.32125,1.029476870011134,0.9456321714567835,0.029476870011134082,-0.054367828543216534,1.0022023710774255,0.002202371077425491
0.35,0.35,1.0323256277594064,0.9406112774701046,0.032325627759406395,-0.059388722529895355,1.0024058657032142,0.002405865703214216
