T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,20000000.0,1.0,0.15,1400.0,304.97443218141746,1916.2108713477191,485.9281159942124,3053.176398760293,651.2877785978127,4092.161801231408,700.0435777536873,4398.503522127398
300000.0,0.015,1.0020893497426229,0.9983260305943352,1.0025020931393176,0.002502093139317596,20116395.415546846,1.0058197707773422,0.15,1400.0,305.8605853938199,1921.7787361917965,487.3400598017799,3062.0479033465645,653.1802020153259,4104.05224824329,702.077669139024,4411.284095233206
750000.0,0.0375,1.0052461899686804,0.9957875867367673,1.006263175006722,0.0062631750067219105,20289967.392622508,1.0144983696311254,0.15,1400.0,307.17729246619723,1930.051850722817,489.4380225143261,3075.2297918370455,655.9920942060869,4121.719887941652,705.1000612891052,4430.274345183131
1425000.0,0.07125,1.0100338930135784,0.9919176168741592,1.0119230726488415,0.011923072648841515,20548010.562620696,1.0274005281310348,0.15,1400.0,309.1244265387691,1942.2860549187096,492.54047010216243,3094.723044937233,660.1502940121711,4147.846627867558,709.5695464612868,4458.35694874764
2425000.0,0.12125,1.0172462294609368,0.9860453821199308,1.0203497938325106,0.020349793832510565,20925132.44554259,1.0462566222771295,0.15,1400.0,311.94824116603263,1960.0286054949304,497.03976832833905,3122.9929694445655,666.1806879130881,4185.736710222305,716.0513793167271,4499.083505708536
3425000.0,0.17125,1.024607097794051,0.9800048995138848,1.0288284543591693,0.028828454359169253,21295996.664626352,1.0647998332313175,0.15,1400.0,314.70048962616795,1977.3214925813604,501.4250372815934,3150.546426899684,672.0582487726311,4222.666514257039,722.3689379563774,4538.777897330433
4425000.0,0.22125,1.032123480562786,0.9737934627041545,1.0373616084526678,0.03736160845266778,21660495.924283676,1.0830247962141837,0.15,1400.0,317.38224764641626,1994.1714751715954,505.6979909617118,3177.3941866808627,677.7852738588042,4258.650474132331,728.5246916231225,4577.455638323942
5425000.0,0.27125,1.039802767581032,0.9674082785830175,1.045951958856358,0.045951958856357944,22018517.418961294,1.1009258709480647,0.15,1400.0,319.9944677930222,2010.584538415868,509.86014713107625,3203.5457851704004,683.3637974232955,4293.701371428498,734.5208268539686,4615.130467106256
6425000.0,0.32125,1.0476527851786204,0.9608464677645324,1.054602366967227,0.05460236696722709,22369942.583257407,1.1184971291628703,0.15,1400.0,322.53798485949767,2026.5659274765076,513.9128359000035,3229.009579697896,688.7956022083766,4327.830407445587,740.3592598483576,4651.814423513554
7000000.0,0.35,1.0522470576569873,0.9569922990134331,1.0596047172066803,0.05960471720668026,22568976.98643925,1.1284488493219624,0.15,1400.0,323.96968259518906,2035.561549653726,516.1940178941841,3243.3426688867335,691.8530625706517,4347.040997471117,743.6456035526032,4672.463129990412
