T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15,1400.0,0.06819435617570489,0.42847777675576043,0.10865682995414618,0.682710997492602,0.14563237458595418,0.9150351962481411,0.15653450270694041,0.9835352874749113
0.015,0.015,1.0012873766013384,0.9975300767204632,1.0001001237252805,1.0074236135081756,1.0074236135081756,0.15,1400.0,0.06844701240902003,0.4300652626886935,0.10905939736470206,0.685240403131756,0.14617193429844452,0.9184253499060064,0.1571144541876157,0.987179230097167
0.0375,0.0375,1.003233733097819,0.9938129331076585,1.0002507769887254,1.0185224132131825,1.0185224132131825,0.15,1400.0,0.0688230204594528,0.43242779094655387,0.10965850622192182,0.6890047151008404,0.14697491783430885,0.9234706442604563,0.15797754955927149,0.9926022182550496
0.07125000000000001,0.07125000000000001,1.0061882354665408,0.9882094371315737,1.0004778252533602,1.0350874765741838,1.0350874765741838,0.15,1400.0,0.06938042576202054,0.4359300717537915,0.11054664266858892,0.6945850409733099,0.14816528405186782,0.9309499357887858,0.15925702731574218,1.0006414140953692
0.12125000000000001,0.12125000000000001,1.0106443026328114,0.9798460309723163,1.0008166040568687,1.0594424531870026,1.0594424531870026,0.15,1400.0,0.07019191956504078,0.4410288376937956,0.11183962861505685,0.7027091112745468,0.14989826865826444,0.9418385992052655,0.16111974420360675,1.0123452094766352
0.17125,0.17125,1.0151976790763158,0.9714076961302803,1.0011583464670104,1.0835716931079358,1.0835716931079358,0.15,1400.0,0.07098674442294982,0.44602286956279075,0.11310605525609196,0.7106663045381194,0.15159565591915442,0.9525035979034832,0.16294419890703324,1.0238085964628192
0.22125,0.22125,1.019851807644605,0.9628933344265692,1.0015031516837838,1.1074707942923827,1.1074707942923827,0.15,1400.0,0.07176531155073508,0.45091475110074414,0.11434657779719033,0.7184607375415738,0.15325832400420528,0.9629504495861911,0.16473133533600443,1.0350375058152563
0.27125,0.27125,1.024610285206235,0.9543018537001657,1.0018511236031178,1.1311352186911843,1.1311352186911843,0.15,1400.0,0.07252799902642657,0.45570685784197873,0.1155617986453914,0.726096195319969,0.15488708031749515,0.97318422732283,0.16648202133735873,1.0460373903764508
0.32125,0.32125,1.029476870011134,0.9456321714567835,1.0022023710774255,1.1545602884454473,1.1545602884454473,0.15,1400.0,0.07327515426074196,0.4604013726324116,0.11675227134426383,0.7335761558901227,0.15648266677156072,0.9832095926873495,0.16819705436365653,1.056813260688613
0.35,0.35,1.0323256277594064,0.9406112774701046,1.0024058657032142,1.1679194529156325,1.1679194529156325,0.15,1400.0,0.07369786040578777,0.4630573136722179,0.11742578616716903,0.7378079743295684,0.1573853763667138,0.9888814843522654,0.16916734134804318,1.0629097536126586
