T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,10000000.0,1.0,0.1778,1400.0,181.93151497525065,1143.1094218054177,289.8788520714658,1821.3625441975187,388.52362605492357,2441.1659387204318,417.60874096377194,2623.9131053733377
150000.0,0.015,1.0020893497426229,0.9983260305943352,1.0025020931393176,0.002502093139317596,10058197.707773423,1.0058197707773422,0.1778,1400.0,182.46014681917083,1146.4309136400443,290.72114260098095,1826.6548116769447,389.6525451477806,2448.2591465776654,418.8221716264193,2631.5373150841647
375000.0,0.0375,1.0052461899686804,0.9957875867367673,1.006263175006722,0.0062631750067219105,10144983.696311254,1.0144983696311254,0.1778,1400.0,183.2456241811345,1151.3662134598567,291.9726754980996,1834.5184247875725,391.3299703750465,2458.798720119515,420.62516992624563,2642.8658875105034
712500.0,0.07125,1.0100338930135784,0.9919176168741592,1.0119230726488415,0.011923072648841515,10274005.281310348,1.0274005281310348,0.1778,1400.0,184.40718073900427,1158.664488557722,293.8234306114024,1846.147062122664,393.81053107280593,2474.384542649244,423.29142690627566,2659.618474192593
1212500.0,0.12125,1.0172462294609368,0.9860453821199308,1.0203497938325106,0.020349793832510565,10462566.222771294,1.0462566222771295,0.1778,1400.0,186.0917182573551,1169.2487499424167,296.50747247274387,1863.0113945096998,397.40794312615054,2496.98774920669,427.1581434135307,2683.9137705380067
1712500.0,0.17125,1.024607097794051,0.9800048995138848,1.0288284543591693,0.028828454359169253,10647998.332313176,1.0647998332313175,0.1778,1400.0,187.73356320927175,1179.5647660209663,299.123490538694,1879.4483207849942,400.9141831210487,2519.0181048260793,430.92686266660195,2707.5933319757887
2212500.0,0.22125,1.032123480562786,0.9737934627041545,1.0373616084526678,0.03736160845266778,10830247.962141838,1.0830247962141837,0.1778,1400.0,189.33335731637436,1189.616568849226,301.6725072903035,1895.4642653864614,404.3306214853275,2540.4842201594006,434.59905768437704,2730.6664137565713
2712500.0,0.27125,1.039802767581032,0.9674082785830175,1.045951958856358,0.045951958856357944,11009258.709480647,1.1009258709480647,0.1778,1400.0,190.89166882898726,1199.4077288492842,304.1554281438314,1911.0649172122378,407.6584717452776,2561.3937200172127,438.1760328384626,2753.141211488868
3212500.0,0.32125,1.0476527851786204,0.9608464677645324,1.054602366967227,0.05460236696722709,11184971.291628703,1.1184971291628703,0.1778,1400.0,192.40899574049052,1208.9413750058297,306.57304657230185,1926.25526180037,410.89879739005755,2581.753286498971,441.6589312314625,2775.0249074981643
3500000.0,0.35,1.0522470576569873,0.9569922990134331,1.0596047172066803,0.05960471720668026,11284488.493219625,1.1284488493219624,0.1778,1400.0,193.26307041218638,1214.3076844342634,307.933878341598,1934.8056199787547,412.7227155188879,2593.2133020875367,443.6193889805471,2787.3428268225593
